epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.7299,0.89413,4.26411,1.47345,0,0,0,0,0.42702,4.94698,0.99838,3.5e-05,3.5e-05,3.5e-05
2,142.183,0.39745,3.93168,1.1337,0,0,0,0,0.24477,4.77274,0.76662,7.10645e-05,7.10645e-05,7.10645e-05
3,212.875,0.33161,3.35579,1.12288,0.38298,1,0.87071,0.84294,0.23942,4.22769,0.71992,0.000105644,0.000105644,0.000105644
